Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,48.031250,51.906250,45.125000,46.812500,25.958378,68507000
2000-02-01,47.187500,48.093750,40.656250,44.093750,24.450785,66870400
2000-03-01,43.593750,47.312500,39.093750,44.281250,24.713793,87122200
2000-04-01,44.687500,49.156250,42.656250,43.312500,24.173145,68960000
2000-05-01,43.343750,45.656250,41.625000,42.875000,23.928965,51990800
2000-06-01,43.031250,43.937500,40.218750,41.500000,23.311691,60388400
2000-07-01,41.500000,45.812500,41.500000,45.031250,25.295282,48465000
2000-08-01,45.250000,48.718750,44.437500,46.507813,26.124708,47917200
2000-09-01,46.968750,47.968750,40.250000,45.562500,25.748760,77085800
2000-10-01,45.968750,48.375000,41.968750,48.312500,27.302866,80873600
2000-11-01,48.125000,50.625000,46.375000,49.937500,28.221216,56927800
2000-12-01,49.625000,61.468750,49.625000,60.250000,34.259113,123104800
2001-01-01,59.062500,60.750000,52.031250,55.325001,31.458679,98942800
2001-02-01,55.450001,57.700001,53.799999,56.375000,32.055721,64738800
2001-03-01,56.375000,59.875000,49.250000,51.950001,29.696106,133320600
2001-04-01,51.799999,60.959999,48.580002,59.505001,34.014767,97665200
2001-05-01,59.505001,63.500000,57.674999,59.290001,33.891869,80176800
2001-06-01,59.025002,62.000000,57.000000,57.049999,32.777870,76526200
2001-07-01,54.625000,58.750000,53.389999,55.939999,32.140129,78921600
2001-08-01,55.750000,56.250000,51.549999,52.049999,29.905149,65713800
2001-09-01,52.049999,53.794998,42.930000,49.200001,28.425970,85653000
2001-10-01,49.000000,55.000000,47.599998,52.189999,30.153492,93931600
2001-11-01,52.314999,58.845001,51.700001,57.290001,33.100079,66560200
2001-12-01,57.200001,60.950001,56.349998,59.105000,34.325169,53627800
2002-01-01,58.514999,58.994999,50.000000,55.500000,32.231556,128540800
2002-02-01,55.500000,60.400002,54.000000,58.965000,34.243855,79811800
2002-03-01,58.599998,61.849998,56.450001,57.505001,33.578609,71132000
2002-04-01,57.575001,64.050003,56.150002,62.900002,36.728882,94848000
2002-05-01,62.900002,65.300003,61.500000,62.715000,36.620853,77942000
2002-06-01,62.590000,64.800003,59.689999,61.500000,36.087589,70207200
2002-07-01,62.875000,65.044998,54.099998,62.915001,36.917896,158405000
2002-08-01,62.625000,64.739998,58.250000,62.474998,36.659710,108368000
2002-09-01,61.825001,63.575001,54.224998,54.985001,32.420605,117654600
2002-10-01,55.375000,64.900002,55.375000,63.470001,37.423599,146528400
2002-11-01,63.345001,65.775002,62.700001,64.925003,38.281490,91956000
2002-12-01,65.150002,65.239998,59.990002,61.650002,36.527382,75013400
2003-01-01,61.660000,64.570000,61.525002,62.275002,36.897671,90253400
2003-02-01,62.805000,63.744999,60.125000,62.685001,37.140602,84985600
2003-03-01,62.924999,67.474998,59.730000,65.014999,38.722980,118813400
2003-04-01,65.019997,68.375000,61.294998,63.020000,37.534760,125535800
2003-05-01,63.020000,63.369999,60.255001,63.235001,37.662815,98968800
2003-06-01,63.625000,66.949997,62.250000,64.489998,38.614552,84377600
2003-07-01,64.489998,70.820000,63.400002,70.099998,41.973644,101214000
2003-08-01,69.699997,72.849998,68.885002,71.235001,42.653221,74494800
2003-09-01,70.500000,72.175003,68.154999,69.070000,41.546730,106435200
2003-10-01,69.940002,79.300003,69.800003,78.870003,47.441605,70357700
2003-11-01,78.959999,80.160004,76.000000,79.040001,47.543861,44008500
2003-12-01,79.500000,85.400002,79.400002,85.029999,51.366474,53349900
2004-01-01,85.000000,86.199997,78.410004,79.089996,47.778130,75033700
2004-02-01,78.889999,81.459999,77.570000,78.019997,47.131767,53698700
2004-03-01,78.470001,81.980003,74.349998,81.870003,49.680195,75066300
2004-04-01,81.870003,88.699997,80.900002,86.480003,52.477615,60029000
2004-05-01,86.500000,87.650002,81.669998,84.559998,51.312542,50875200
2004-06-01,84.129997,90.290001,84.010002,90.010002,54.857296,48399900
2004-07-01,90.000000,90.110001,80.750000,82.360001,50.194931,64671500
2004-08-01,82.300003,83.849998,77.199997,82.360001,50.194931,51538300
2004-09-01,82.120003,84.959999,77.690002,79.970001,48.962383,58461200
